City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,17.38,75,100,5.91,AU,1680211208
1,myitkyina,25.3833,97.4,17.29,65,1,1.08,MM,1680211208
2,karratha,-20.7377,116.8463,26.71,81,40,1.5,AU,1680211208
3,isiro,2.7739,27.616,19.94,92,100,1.33,CD,1680211208
4,naze,28.3667,129.4833,17.51,94,100,4.11,JP,1680211208
5,launceston,-41.45,147.1667,12.11,87,75,2.57,AU,1680211208
6,waddan,29.1614,16.139,16.46,26,0,3.61,LY,1680211208
7,dikson,73.5069,80.5464,-27.11,100,96,2.94,RU,1680211208
8,bredasdorp,-34.5322,20.0403,15.22,82,98,0.61,ZA,1680211038
9,price,39.5994,-110.8107,5.06,75,75,2.06,US,1680210909
10,kapaa,22.0752,-159.319,26.38,79,100,6.17,US,1680211210
11,vagur,61.4732,-6.8119,7.33,95,100,9.21,FO,1680211210
12,mataura,-46.1927,168.8643,9.04,87,35,1.57,NZ,1680211210
13,punta arenas,-53.15,-70.9167,9.06,49,0,9.77,CL,1680211210
14,bluff,-46.6,168.3333,9.66,89,39,3.72,NZ,1680211210
15,leningradskiy,69.3833,178.4167,-20.12,93,17,2.44,RU,1680211211
16,angoche,-16.2325,39.9086,24.53,81,96,2.23,MZ,1680211211
17,mayo,38.8876,-76.5119,12.97,38,0,4.12,US,1680211211
18,sturgeon falls,46.3646,-79.9326,2.16,61,100,5.52,CA,1680211211
19,victoria,22.2855,114.1577,21.29,93,100,0.45,HK,1680211211
20,tasiilaq,65.6145,-37.6368,-4.91,95,100,3.66,GL,1680211211
21,marau,-28.4492,-52.2,24.97,90,100,0.59,BR,1680211211
22,parrita,9.5201,-84.3225,30.7,62,8,3.44,CR,1680211212
23,cidreira,-30.1811,-50.2056,24.53,77,100,3.29,BR,1680211115
24,clyde river,70.4692,-68.5914,-17.87,78,100,2.06,CA,1680211212
25,bethel,41.3712,-73.414,7.41,31,0,5.66,US,1680211212
26,rikitea,-23.1203,-134.9692,26.16,72,83,2.59,PF,1680211212
27,morant bay,17.8815,-76.4093,30.95,64,1,5.58,JM,1680211212
28,ponta do sol,32.6667,-17.1,23.4,26,11,1.86,PT,1680211212
29,tuktoyaktuk,69.4541,-133.0374,-17.0,71,0,7.2,CA,1680211213
30,khatanga,71.9667,102.5,-26.12,97,97,3.7,RU,1680211213
31,abha,18.2164,42.5053,15.9,88,20,4.63,SA,1680211213
32,bubaque,11.2833,-15.8333,25.23,74,4,7.56,GW,1680211213
33,burnie,-41.0667,145.9167,12.19,87,66,4.55,AU,1680211213
34,gat,31.61,34.7642,12.38,100,34,5.79,IL,1680211213
35,ulaanbaatar,47.9077,106.8832,2.07,21,0,2.0,MN,1680211079
36,saint george,37.1041,-113.5841,6.33,75,100,10.29,US,1680211078
37,healesville,-37.65,145.5167,14.01,99,76,0.93,AU,1680211213
38,talnakh,69.4865,88.3972,-28.22,98,69,2.88,RU,1680211214
39,mahebourg,-20.4081,57.7,27.16,89,40,5.14,MU,1680211214
40,eureka,40.8021,-124.1637,13.29,72,15,2.68,US,1680211215
41,kupino,54.3663,77.2981,-10.04,90,6,3.35,RU,1680211215
42,avarua,-21.2078,-159.775,28.03,89,75,5.66,CK,1680211215
43,lazarev,52.225,141.5131,-1.29,98,100,2.66,RU,1680211215
44,oshnaviyeh,37.0397,45.0983,4.65,83,68,4.0,IR,1680211216
45,qaqortoq,60.7167,-46.0333,-6.03,79,1,0.48,GL,1680211216
46,mar del plata,-38.0023,-57.5575,19.49,73,0,8.23,AR,1680211045
47,deputatskiy,69.3,139.9,-23.48,99,100,1.21,RU,1680211216
48,talcahuano,-36.7167,-73.1167,17.82,55,0,7.2,CL,1680211046
49,albany,42.6001,-73.9662,3.9,34,67,3.13,US,1680211216
50,camacha,33.0833,-16.3333,18.68,60,0,4.12,PT,1680211216
51,arraial do cabo,-22.9661,-42.0278,26.92,78,0,2.57,BR,1680211217
52,husavik,66.0449,-17.3389,1.09,86,91,5.05,IS,1680211217
53,ushuaia,-54.8,-68.3,6.81,53,20,4.12,AR,1680211199
54,souillac,-20.5167,57.5167,27.21,89,40,5.14,MU,1680211217
55,westport,41.1415,-73.3579,8.12,27,0,7.2,US,1680211217
56,sumbe,-11.2061,13.8437,25.69,84,49,2.4,AO,1680211217
57,bardiyah,31.7561,25.0865,13.92,63,0,5.09,LY,1680211217
58,east london,-33.0153,27.9116,17.41,79,12,5.2,ZA,1680211217
59,teya,60.3778,92.6267,-15.12,97,100,1.44,RU,1680211218
60,burdur,37.7203,30.2908,0.39,55,20,2.57,TR,1680211218
61,hasaki,35.7333,140.8333,10.12,75,100,4.19,JP,1680211218
62,mao,39.8885,4.2658,13.31,100,20,3.09,ES,1680211218
63,atuona,-9.8,-139.0333,27.02,74,4,6.79,PF,1680211218
64,new norfolk,-42.7826,147.0587,13.29,81,100,0.45,AU,1680211219
65,fort saint james,54.4333,-124.25,4.12,72,87,2.18,CA,1680211219
66,chokurdakh,70.6333,147.9167,-22.08,97,100,2.54,RU,1680211219
67,sabla,12.7525,4.7077,30.63,9,100,3.61,NG,1680211219
68,miquelon,47.0975,-56.3814,1.0,82,30,4.1,PM,1680211220
69,georgetown,5.4112,100.3354,26.96,92,20,1.03,MY,1680211115
70,bambous virieux,-20.3428,57.7575,27.14,89,40,5.14,MU,1680211220
71,fort nelson,58.8053,-122.7002,-0.59,79,100,1.79,CA,1680211220
72,puerto ayora,-0.7393,-90.3518,30.98,85,69,1.79,EC,1680211221
73,torbay,47.6666,-52.7314,1.76,74,20,4.12,CA,1680211221
74,tautira,-17.7333,-149.15,26.71,75,88,2.14,PF,1680211221
75,kavieng,-2.5744,150.7967,25.77,82,100,2.52,PG,1680211221
76,port elizabeth,-33.918,25.5701,17.16,81,0,5.14,ZA,1680211221
77,richards bay,-28.783,32.0377,19.15,93,100,2.64,ZA,1680211221
78,orodara,10.9492,-4.9342,29.05,23,59,1.87,BF,1680211222
79,davila,18.4726,120.5763,24.99,85,17,3.45,PH,1680211222
80,houma,29.5958,-90.7195,25.01,61,0,7.2,US,1680211125
81,hermanus,-34.4187,19.2345,13.22,82,68,2.59,ZA,1680211222
82,esperance,-33.8667,121.9,14.82,81,20,4.65,AU,1680211222
83,tiksi,71.6872,128.8694,-30.61,100,100,2.78,RU,1680211222
84,trofors,65.5333,13.4063,-6.07,86,21,1.39,NO,1680211222
85,kirakira,-10.4544,161.9205,27.21,80,98,0.49,SB,1680211222
86,ahipara,-35.1667,173.1667,15.74,62,11,2.72,NZ,1680211223
87,kieta,-6.2167,155.6333,26.24,84,94,2.28,PG,1680211223
88,san patricio,28.017,-97.5169,27.32,71,100,9.64,US,1680211223
89,wamba,8.9333,8.6,28.89,28,4,1.15,NG,1680211223
90,yellowknife,62.456,-114.3525,-10.71,52,20,1.03,CA,1680211224
91,raichur,16.2,77.3667,28.85,42,72,3.45,IN,1680211224
92,fare,-16.7,-151.0167,27.54,74,96,4.05,PF,1680211224
93,vaini,-21.2,-175.2,28.09,74,75,3.6,TO,1680211224
94,faanui,-16.4833,-151.75,27.85,73,99,4.59,PF,1680211224
95,cape town,-33.9258,18.4232,17.29,79,20,7.2,ZA,1680211049
96,barrow,71.2906,-156.7887,-14.99,78,0,2.06,US,1680211030
97,saskylakh,71.9167,114.0833,-32.98,100,94,2.54,RU,1680211224
98,urucui,-7.2294,-44.5561,27.24,71,59,2.42,BR,1680211225
99,pacific grove,36.6177,-121.9166,14.12,67,40,5.66,US,1680211225
100,pak chong,14.708,101.4161,22.66,85,11,1.83,TH,1680211177
101,platanos,37.6667,21.6167,11.71,80,6,1.59,GR,1680211225
102,oudtshoorn,-33.5907,22.2014,14.2,90,9,1.12,ZA,1680210986
103,lorengau,-2.0226,147.2712,26.17,80,99,0.35,PG,1680211225
